States,Latitude,Longitude,22.03.2020,23.03.2020,24.03.2020,25.03.2020,26.03.2020,27.03.2020,28.03.2020,30.03.2020,01.04.2020,02.04.2020,03.04.2020,04.04.2020,05.04.2020,06.04.2020,07.04.2020,08.04.2020,09.04.2020,10.04.2020,11.04.2020,12.04.2020,13.04.2020,14.04.2020,15.04.2020,16.04.2020,17.04.2020,18.04.2020,19.04.2020,20.04.2020,21.04.2020,22.04.2020,23.04.2020,24.04.2020,25.04.2020,26.04.2020,27.04.2020,28.04.2020,29.04.2020,30.04.2020,01.05.2020,02.05.2020,03.05.2020,04.05.2020,05.05.2020,06.05.2020,07.05.2020,08.05.2020,09.05.2020,10.05.2020,11.05.2020,12.05.2020,13.05.2020,14.05.2020,15.05.2020,16.05.2020,17.05.2020,18.05.2020,19.05.2020,20.05.2020,21.05.2020,22.05.2020,23.05.2020,24.05.2020,25.05.2020,26.05.2020,27.05.2020,28.05.2020,29.05.2020,30.05.2020,31.05.2020,01.06.2020
Rajasthan,26.44999921,74.63998124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,11,11,11,14,25,25,27,27,27,33,41,46,51,51,58,62,65,71,77,89,92,97,101,106,107,113,117,121,125,125,126,131,138,143,147,151,153,160,163,167,170,173,180,184,193,194
Sikkim,27.3333303,88.6166475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
Tamil Nadu,12.92038576,79.15004187,0,0,0,0,1,1,1,1,1,1,1,2,3,5,5,7,8,8,8,10,11,11,12,14,15,15,15,15,17,18,18,20,22,23,24,24,25,27,27,28,29,30,31,33,35,37,40,44,47,53,61,64,66,71,74,78,81,84,87,94,98,103,111,118,127,133,145,154,160,173
Tripura,23.83540428,91.27999914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,27.59998069,78.05000565,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3,3,4,4,4,5,5,5,11,13,14,14,17,17,20,21,21,24,26,29,31,31,36,39,41,43,43,45,53,56,60,62,66,74,74,80,82,83,88,95,104,104,118,123,127,138,152,155,161,165,170,182,197,198,201,213
Uttarakhand,30.32040895,78.05000565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,4,4,5,5,5
West Bengal,22.58039044,88.32994665,0,1,1,1,1,1,1,2,3,3,3,3,3,3,3,5,5,5,5,5,7,7,7,7,10,10,12,12,12,15,15,15,18,18,20,20,22,22,33,33,33,35,133,140,144,151,160,171,185,190,198,207,215,225,232,238,244,250,253,259,265,269,272,278,283,289,295,302,309,317
Ladakh,34.152588,77.577049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Telengana,18.1124,79.0193,0,0,0,0,0,0,0,1,3,3,3,7,7,7,7,7,7,7,9,9,16,17,18,18,18,18,18,21,23,23,24,26,26,26,26,26,26,26,26,26,28,29,29,29,29,29,29,30,30,30,32,34,34,34,34,34,35,38,40,45,45,49,53,56,57,63,67,71,77,82
Gujarat,22.2587,71.1924,1,1,1,1,3,3,3,6,6,6,7,10,11,12,13,13,16,17,19,22,26,26,30,36,38,48,58,67,77,95,103,112,127,133,151,162,181,197,214,236,262,290,319,368,396,425,449,472,493,513,537,566,586,606,625,659,694,719,749,773,802,829,858,888,915,938,960,980,1007,1038
